category,id,title_en,title_ur,order,tags 
Ramadhan,42,Qareebun Mujeeb,قریب مجیب,1,Ramadan 
MorningDuas,6,Morning Supplications,صبح کے اذکار,2,"Daily, Morning "
EveningDuas,7,Evening Supplications,شام کے اذکار,3,"Daily, Evening "
awake,60,Supplications for Waking Up,جاگنے کے اذکار,4,"Daily, Waking Up"
sleep,61,Supplications for Sleeping,سونے کے اذکار,5,"Daily, Sleeping"
Praise,1,Words Of Praise For Allah ,حمد و ثناء کے کلمات ,6,Hamd
Durood,2,Durood-Praising The Prophet Muhammad ﷺ,درود شریف,7,"Salawaat, Durood"
Knowledge,9,Seeking Knowledge,حصول علم,8,Knowledge
Tawheed,43,Supplications for Strengthening Tawheed,توحید خالص کی مضبوطی کی دعائیں,9,Tawheed
imanOnFate,59,Supplications for Strengthening Iman on Fate,تقدیر سے متعلق دعائیں,10,"Iman, Divine Decree, Fate"
Forgiveness,14,For Forgiveness Of Sins,گناہوں کی بخشش,11,"Forgiveness, Sins"
Parents,10,For Parents,والدین کے لیے,12,"Family, Parents"
Children,11,For Children,اولاد کے لیے,13,"Family, Children"
Spouses,12,For Spouses,ازواج کے لیے,14,"Family, Spouses"
askingGoodness,58,Supplications for Asking Goodness,دعائے استخارہ اور خیر کے حصول کی دعائیں,15,Goodness
Hardships,29,Seeking Ease in Matters,آسانی کے حصول کی دعائیں,16,Ease
GoodnessHereAfter,15,Goodness in this World and Hereafter,دنیا اور آخرت کی بھلائی,17,"Goodness, World, Hereafter"
ProtectionBlessings,30,Supplications for Thankfulnes on Blessings,نعمتوں پر شکر گزاری کی دعائیں,18,Thankfulness
Sustenance,13,Increase In Sustenance,رزق کی کشادگی,19,Sustenence
FearAnxiety,32,Fear and Anxiety,ڈر اور گھبراہٹ کے وقت,20,"Fear, Anxiety"
SorrowDistress,21,Relief from Sorrow and Distress,رنج و غم کے ازالے کے لیے,21,"Sorrow, Distress"
Debt,37,Relief From Debt,قرض سے نجات,22,Debt
SoundHeart,24,Supplications for Steadfastness,ہدایت پر ثابت قدمی کی دعائیں,23,Steadfastness
MoralEvils,27,Protection from Moral Evils,اخلاقی برائیوں سے بچنے کی دعائیں,24,"Protection, Morals, Evils"
Quranic,4,Quranic Supplications,قرآنى دعائیں,25,Quranic
azaan,62,Supplications after Azaan,اذان کے بعد کی دعائیں,26,Azaan
EnteringMasjid,44,Supplications to Enter in Masjid,مسجد میں داخل ہونے کی دعائیں,27,Masjid
ExitingMasjid,45,Supplications while Exiting the Masjid,مسجد سے نکلنے کی دعائیں,28,Masjid
Ablution,46,Supplications After Ablution,وضوکے بعد کی دعائیں,29,"Salah, Ablution"
Istiftah,47,Istiftah (The Opening Dua),دعائے استفتاح,30,Salah
Ruku,49,Supplications in Ruku,رکوع کی دعائیں,31,Salah
afterRuku,50,After Standing up from Ruku,قومہ کی د عائیں,32,Salah
Sajda,51,Supplications in Sujud,سجدے کی دعائیں,33,Salah
betweenSajda,52,Supplications between Sujud,جلسہ کی دعا,34,"Salah, Sujood"
tashahhud,53,Tashahhud,تشہد,35,Salah
afterTashahhud,54,Supplications in Tashahhud,تشہد و درود کے بعد کی دعائیں,36,Salah
AfterSalah,40,Supplications after Salah,نماز کے بعد کے اذکار,37,Salah
Witr,55,Supplications in Witr,وتر کی دعائیں,38,"Salah, Witr"
Rain,56,Supplications for Asking for Rain,نمازاستسقاء کی دعائیں,39,Rain
sajdaTilawah,57,Dua for Sajdah al-Tilawah,سجدہ تلاوت کی دعائیں,40,"Salah, Sujood"
Accepted,3,Accepted Supplications,مقبول دعائیں,41,Accepted
ProtectionDuas,8,Supplications for Protection,حفاظت کی دعائیں,42,Protection
EvilWhisperings,16,Warding off Evil-Whisperings,وسوسوں سے نجات کے لئے,43,Evil
EnemyDuas,17,Supplications for Protection from an Enemy,دشمن کے شر سے حفاظت کے لئے,44,Enemy
BlackMagic,18,Protection Against Black Magic,جادو کے اثر سے حفاظت کے لئے,45,Magic
EvilEye,19,Warding off Evil-Eye,نظر لگنے پر,46,"Evil-Eye, Evil"
JinnProtection,20,Protection Against Evils of the Jinn,جنّات اور شیاطین سے بچاؤ کے لیے,47,"Evil, Jinn"
BadDream,22,After a Bad Dream,برا خواب دیکھنے پر,48,Dream
Healing,23,Supplications for Healing,بیماریوں سے شفا کے لئے,49,"Healing, Sickness"
EvilEnding,25,For Protection Against An Evil Ending,بُری موت سے بچنے کی دعائیں,50,"Evil, Death"
Hellfire,26,For Protection from Hellfire & Attaining Paradise,جہنم سے بچنا اور جنت کا حصول,51,"Paradise, Hellfire"
ProtectionLifeWealth,28,Protection of Life And Wealth,جان و مال کی حفاظت,52,Protection
Neighbour,31,Seeking a Good Neighbour and Protection Against an Evil Neighbour,اچھا پڑوسی پانے اور بُرے پڑوسی سے بچنے کی دعائیں,53,Neighbor
SleepFrightDuas,33,Upon Fright during Sleep,سوتے میں وحشت کے وقت,54,"Sleep, Fright"
ForgivenessDeceased,34,Forgiveness of the Deceased,میّت کی مغفرت کے لئے,55,"Forgiveness, Deceased"
Unfortunate,35,Receiving Unfortunate News,مصیبت اور غم کی خبر سننے پر,56,Calamity
Trial,36,Seeing someone in Trial,مصیبت زدہ اور بیمار کو دیکھ کر,57,Trial
VisitSick,38,Visiting the Sick,عیادت کے آداب,58,"Sickness, Healing"
Travelling,41,For Travelling,سفر کی دعائیں,59,Travel
Assorted,5,Assorted,متفرقات,60,
WirdMusaffa,63,Al Wird ul Musaffa Al Mukhtar,الوِردُ الُمُصفی المختار,61,